epoch,train_loss,val_loss,epoch_seconds,timestamp
88,0.013558,0.033630,50.7,2026-08-06T22:48:50
89,0.004994,0.035029,50.7,2026-08-06T22:49:41
90,0.011157,0.028915,50.7,2026-08-06T22:50:31
91,0.011353,0.020957,50.7,2026-08-06T22:51:22
92,0.004134,0.027691,50.7,2026-08-06T22:52:13
93,0.002538,0.064826,50.7,2026-08-06T22:53:04
94,0.002644,0.023355,50.7,2026-08-06T22:53:55
95,0.002286,0.022390,50.7,2026-08-06T22:54:45
96,0.001316,0.096983,50.7,2026-08-06T22:55:36
97,0.008702,0.036191,50.7,2026-08-06T22:56:27
98,0.002738,0.095120,50.7,2026-08-06T22:57:18
99,0.006662,0.021601,50.7,2026-08-06T22:58:08
100,0.010805,0.045241,50.7,2026-08-06T22:58:59
101,0.001013,0.024306,50.7,2026-08-06T22:59:50
102,-0.002160,0.055151,50.7,2026-08-06T23:00:41
103,-0.005695,0.016659,50.7,2026-08-06T23:01:31
104,-0.003105,0.034728,50.7,2026-08-06T23:02:22
105,-0.005265,0.028011,50.7,2026-08-06T23:03:13
106,-0.005565,0.050319,50.7,2026-08-06T23:04:04
107,-0.004364,0.099761,50.7,2026-08-06T23:04:54
108,-0.001580,0.029215,50.7,2026-08-06T23:05:45
109,-0.007974,0.049187,50.7,2026-08-06T23:06:36
110,-0.002764,0.030736,50.7,2026-08-06T23:07:27
111,-0.010431,0.074900,50.7,2026-08-06T23:08:17
112,-0.006164,0.012954,50.7,2026-08-06T23:09:08
113,-0.008303,0.024356,50.7,2026-08-06T23:09:59
114,-0.008727,0.042418,50.8,2026-08-06T23:10:50
115,-0.010574,0.129860,50.7,2026-08-06T23:11:41
116,0.001184,0.086321,50.7,2026-08-06T23:12:31
117,-0.013709,0.039477,50.7,2026-08-06T23:13:22
118,-0.016265,0.088655,50.7,2026-08-06T23:14:13
119,-0.018150,0.036414,50.7,2026-08-06T23:15:04
120,-0.014897,0.021954,50.7,2026-08-06T23:15:54
121,-0.006933,0.096599,50.7,2026-08-06T23:16:45
122,-0.020505,0.061700,50.7,2026-08-06T23:17:36
123,-0.017476,0.054108,50.8,2026-08-06T23:18:27
124,-0.028160,0.109182,50.7,2026-08-06T23:19:17
125,-0.026716,0.043446,50.7,2026-08-06T23:20:08
126,-0.019560,0.055105,50.7,2026-08-06T23:20:59
127,-0.025585,0.051333,50.7,2026-08-06T23:21:50
128,-0.026369,0.074280,50.7,2026-08-06T23:22:40
129,-0.031490,0.090896,50.7,2026-08-06T23:23:31
130,-0.029757,0.104710,50.7,2026-08-06T23:24:22
131,-0.028653,0.037338,50.7,2026-08-06T23:25:13
132,-0.035105,0.008289,50.7,2026-08-06T23:26:03
133,-0.030779,0.036585,50.7,2026-08-06T23:26:54
134,-0.036292,0.017025,50.7,2026-08-06T23:27:45
135,-0.033536,0.101444,50.7,2026-08-06T23:28:36
136,-0.041214,-0.003750,50.7,2026-08-06T23:29:26
137,-0.032561,0.031735,50.7,2026-08-06T23:30:17
138,-0.039185,0.065056,50.7,2026-08-06T23:31:08
139,-0.026012,0.143302,50.7,2026-08-06T23:31:59
140,-0.035221,0.080075,50.7,2026-08-06T23:32:50
141,-0.042169,0.054551,50.7,2026-08-06T23:33:40
142,-0.044259,0.052316,50.7,2026-08-06T23:34:31
143,-0.038369,0.027031,50.7,2026-08-06T23:35:22
144,-0.048114,0.040970,50.7,2026-08-06T23:36:13
145,-0.050169,0.131860,50.7,2026-08-06T23:37:03
146,-0.046983,0.038395,50.7,2026-08-06T23:37:54
147,-0.051030,0.078554,50.7,2026-08-06T23:38:45
148,-0.052083,0.052587,50.7,2026-08-06T23:39:36
149,-0.052127,0.083062,50.7,2026-08-06T23:40:26
150,-0.050509,0.021502,50.7,2026-08-06T23:41:17
151,-0.053997,0.069352,50.7,2026-08-06T23:42:08
152,-0.050289,0.034189,50.7,2026-08-06T23:42:59
153,-0.054599,0.032089,50.8,2026-08-06T23:43:49
154,-0.050927,0.054545,50.7,2026-08-06T23:44:40
155,-0.054727,0.064496,50.7,2026-08-06T23:45:31
156,-0.057616,0.145062,50.7,2026-08-06T23:46:22
157,-0.055331,0.095867,51.0,2026-08-06T23:47:13
158,-0.057178,0.083080,50.9,2026-08-06T23:48:04
159,-0.059758,0.044281,50.7,2026-08-06T23:48:54
160,-0.057772,0.134940,50.7,2026-08-06T23:49:45
161,-0.060364,0.045128,50.7,2026-08-06T23:50:36
162,-0.063748,0.051269,50.7,2026-08-06T23:51:27
163,-0.065764,0.176309,50.7,2026-08-06T23:52:17
164,-0.038780,0.205280,50.7,2026-08-06T23:53:08
165,-0.061584,0.105400,50.7,2026-08-06T23:53:59
166,-0.063662,0.193933,50.7,2026-08-06T23:54:50
167,-0.064297,0.077435,50.7,2026-08-06T23:55:40
168,-0.063186,0.092252,50.7,2026-08-06T23:56:31
169,-0.065350,0.015368,50.7,2026-08-06T23:57:22
170,-0.064971,0.071228,50.7,2026-08-06T23:58:13
171,-0.062936,0.173087,50.7,2026-08-06T23:59:03
172,-0.060225,0.151709,50.7,2026-08-06T23:59:54
173,-0.067787,0.044111,50.7,2026-08-07T00:00:45
174,-0.066565,0.072616,50.7,2026-08-07T00:01:36
175,-0.062271,-0.016294,50.7,2026-08-07T00:02:26
176,-0.064354,0.134279,50.7,2026-08-07T00:03:17
177,-0.066069,0.083262,50.7,2026-08-07T00:04:08
178,-0.075966,0.323484,50.7,2026-08-07T00:04:59
179,-0.066457,0.223317,50.7,2026-08-07T00:05:49
180,-0.071197,0.100319,50.7,2026-08-07T00:06:40
181,-0.070862,0.183179,50.7,2026-08-07T00:07:31
182,-0.067359,0.108445,50.7,2026-08-07T00:08:22
183,-0.072309,0.098935,50.7,2026-08-07T00:09:12
184,-0.066989,0.156312,50.7,2026-08-07T00:10:03
185,-0.074788,0.121854,50.7,2026-08-07T00:10:54
186,-0.079004,0.177502,50.7,2026-08-07T00:11:44
187,-0.079782,0.093817,50.7,2026-08-07T00:12:35
188,-0.076996,0.056703,50.7,2026-08-07T00:13:26
189,-0.075593,0.289763,50.7,2026-08-07T00:14:17
190,-0.078315,0.146099,50.7,2026-08-07T00:15:08
191,-0.084206,0.238498,50.7,2026-08-07T00:15:58
192,-0.078716,0.347826,50.7,2026-08-07T00:16:49
193,-0.072591,0.134673,50.7,2026-08-07T00:17:40
194,-0.075482,0.221481,50.7,2026-08-07T00:18:31
195,-0.078459,0.072025,50.7,2026-08-07T00:19:21
196,-0.084812,0.198233,50.7,2026-08-07T00:20:12
197,-0.079768,0.283843,50.7,2026-08-07T00:21:03
198,-0.080878,0.210411,50.7,2026-08-07T00:21:54
199,-0.084932,0.257526,50.8,2026-08-07T00:22:44
200,-0.081179,0.230394,50.7,2026-08-07T00:23:35
201,-0.081073,0.268426,50.7,2026-08-07T00:24:26
202,-0.082181,0.224592,50.7,2026-08-07T00:25:17
203,-0.059280,0.512172,50.7,2026-08-07T00:26:07
204,-0.066773,0.294096,50.7,2026-08-07T00:26:58
205,-0.087392,0.151768,50.7,2026-08-07T00:27:49
206,-0.088584,0.099256,50.7,2026-08-07T00:28:40
207,-0.088215,0.397316,50.7,2026-08-07T00:29:30
208,-0.087325,0.584354,50.7,2026-08-07T00:30:21
209,-0.086854,0.103341,50.7,2026-08-07T00:31:12
210,-0.090682,0.219103,50.6,2026-08-07T00:32:03
211,-0.085971,0.093472,50.6,2026-08-07T00:32:53
212,-0.088157,0.240662,50.6,2026-08-07T00:33:44
213,-0.086180,0.171998,50.7,2026-08-07T00:34:35
214,-0.089129,0.157809,50.7,2026-08-07T00:35:25
215,-0.093031,0.162920,50.7,2026-08-07T00:36:16
216,-0.091848,0.340891,50.7,2026-08-07T00:37:07
217,-0.093587,0.246458,50.7,2026-08-07T00:37:57
218,-0.091477,0.109428,50.7,2026-08-07T00:38:48
219,-0.084024,0.348642,50.7,2026-08-07T00:39:39
220,-0.093215,0.281017,50.7,2026-08-07T00:40:30
221,-0.085870,0.312803,50.7,2026-08-07T00:41:20
222,-0.088271,0.363440,50.7,2026-08-07T00:42:11
223,-0.087665,0.164902,50.7,2026-08-07T00:43:02
224,-0.097045,0.286771,50.7,2026-08-07T00:43:52
225,-0.096421,0.209553,50.7,2026-08-07T00:44:43
226,-0.091260,0.450027,50.7,2026-08-07T00:45:34
227,-0.088740,0.126185,50.7,2026-08-07T00:46:24
228,-0.083944,0.098096,51.0,2026-08-07T00:47:16
229,-0.096781,0.031398,50.8,2026-08-07T00:48:06
230,-0.098698,0.222379,50.6,2026-08-07T00:48:57
231,-0.102730,0.042915,50.6,2026-08-07T00:49:48
232,-0.088331,0.744398,50.7,2026-08-07T00:50:38
233,-0.098758,0.435371,50.7,2026-08-07T00:51:29
234,-0.100464,0.504323,50.7,2026-08-07T00:52:20
