epoch,train_loss,val_loss,epoch_seconds,timestamp
163,-0.042703,0.040542,50.8,2026-08-07T14:23:48
164,-0.041850,0.040780,50.8,2026-08-07T14:24:39
165,-0.040315,-0.010823,50.7,2026-08-07T14:25:29
166,-0.042047,0.007212,50.8,2026-08-07T14:26:20
167,-0.045473,0.016534,50.8,2026-08-07T14:27:11
168,-0.046631,0.077785,50.8,2026-08-07T14:28:02
169,-0.047421,0.060155,50.8,2026-08-07T14:28:53
170,-0.049675,0.134460,50.8,2026-08-07T14:29:44
171,-0.048480,0.006041,50.8,2026-08-07T14:30:35
172,-0.052746,0.070463,50.9,2026-08-07T14:31:26
173,-0.055728,0.025133,51.0,2026-08-07T14:32:17
174,-0.051630,0.073993,51.0,2026-08-07T14:33:08
175,-0.055284,0.106192,51.0,2026-08-07T14:33:59
176,-0.050506,0.054439,51.0,2026-08-07T14:34:50
177,-0.052733,0.059901,51.0,2026-08-07T14:35:41
178,-0.055787,0.109279,51.0,2026-08-07T14:36:32
179,-0.052164,0.060543,51.0,2026-08-07T14:37:23
180,-0.057918,0.023698,51.0,2026-08-07T14:38:14
181,-0.057334,0.078247,51.0,2026-08-07T14:39:05
182,-0.055923,0.084341,51.0,2026-08-07T14:39:56
183,-0.056554,0.075126,51.0,2026-08-07T14:40:47
184,-0.056641,0.067939,51.0,2026-08-07T14:41:38
185,-0.056144,0.048905,51.0,2026-08-07T14:42:29
186,-0.062073,0.127807,51.0,2026-08-07T14:43:20
187,-0.059134,0.096062,51.0,2026-08-07T14:44:11
188,-0.061502,0.037009,51.0,2026-08-07T14:45:02
189,-0.063664,0.039562,51.0,2026-08-07T14:45:53
190,-0.066354,0.156557,51.0,2026-08-07T14:46:44
191,-0.062100,0.061224,51.4,2026-08-07T14:47:35
192,-0.056776,0.165007,51.0,2026-08-07T14:48:26
193,-0.057187,0.120788,51.0,2026-08-07T14:49:17
194,-0.060249,0.098467,51.0,2026-08-07T14:50:08
195,-0.061088,0.228407,51.0,2026-08-07T14:50:59
196,-0.052036,0.014922,50.7,2026-08-07T17:10:28
197,-0.062363,0.116098,50.7,2026-08-07T17:14:02
198,-0.068521,0.014772,50.8,2026-08-07T17:17:11
199,-0.063215,0.085245,50.8,2026-08-07T17:20:58
200,-0.066992,0.272737,50.8,2026-08-07T17:30:32
201,-0.063845,0.214048,50.9,2026-08-07T17:35:51
202,-0.085899,0.083460,50.0,2026-08-07T22:51:07
